block_id,k_i,s_i_star,alpha,pi_i_star,d_i_hat,sigma_BB_i_hat,n_i_uniform,n_i_uniform_ceil,n_i_bernoulli,n_i_bernoulli_ceil,status
0,10,5,0.05,0.00010485760000000006,-0.0009182038922215933,5.518029675410602e-05,,,,,invalid_non_positive_d
1,7,3,0.05,0.0032768000000000016,0.011740865968037858,0.021978273538468675,1522.6941131353378,1523,3630.385668600409,3631,ok
2,7,3,0.05,0.0032768000000000016,-0.000780638989787701,9.881179649123722e-05,,,,,invalid_non_positive_d
3,4,2,0.05,0.02560000000000001,0.02984193219349666,0.07281395514712809,248.09437654891136,249,605.6991614963654,606,ok
4,9,4,0.05,0.0005242880000000002,0.08195699601455138,0.07094655413996805,2816.595564314163,2817,10492.636130430405,10493,ok
5,6,3,0.05,0.0040960000000000015,0.01925890805018031,0.032643629999164106,689.3757718784565,690,2629.759871972871,2630,ok
6,8,4,0.05,0.0006553600000000002,-0.0008741124688915626,0.0001118338176211655,,,,,invalid_non_positive_d
7,6,3,0.05,0.0040960000000000015,0.04140811284713739,0.06517091742287268,640.114441757243,641,2441.8428106584274,2442,ok
8,7,3,0.05,0.0032768000000000016,0.020169249629113154,0.044350415616407624,1788.6574575621682,1789,4264.491695313853,4265,ok
