pop_size,seed,final_best_F,final_best_relays,final_best_conn,evaluations,gen_to_95pct
4,0,0.964956,25,1.0,168,9
4,1,0.964787,24,1.0,158,18
4,2,0.952121,28,0.9896,158,71
4,3,0.964122,26,1.0,174,31
4,4,0.964489,25,1.0,145,15
8,0,0.964566,27,1.0,372,39
8,1,0.966458,22,1.0,424,28
8,2,0.967071,22,1.0,388,47
8,3,0.965849,25,1.0,397,19
8,4,0.966649,23,1.0,382,7
16,0,0.967034,23,1.0,817,7
16,1,0.968865,20,1.0,942,22
16,2,0.968208,21,1.0,877,43
16,3,0.968771,21,1.0,831,16
16,4,0.966026,25,1.0,839,12
32,0,0.968233,20,1.0,1979,45
32,1,0.969765,20,1.0,1897,27
32,2,0.969016,21,1.0,1798,32
32,3,0.968771,20,1.0,1883,22
32,4,0.967843,22,1.0,1900,16
64,0,0.968656,21,1.0,4113,36
64,1,0.969517,20,1.0,4057,33
64,2,0.970113,19,1.0,4224,58
64,3,0.970119,19,1.0,3727,25
64,4,0.970115,18,1.0,3355,34
128,0,0.96984,20,1.0,8869,40
128,1,0.969645,20,1.0,7867,31
128,2,0.970353,19,1.0,7947,37
128,3,0.969916,20,1.0,9247,43
128,4,0.970343,19,1.0,8464,45
256,0,0.970226,19,1.0,16553,34
256,1,0.969598,19,1.0,17044,31
256,2,0.970353,19,1.0,15789,31
256,3,0.970221,19,1.0,15708,27
256,4,0.96984,20,1.0,15186,28
